task_id,question,input_fields,output_field,answer,guidelines,level
1712,"For the 12th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?","payments.merchant, payments.year, payments.day_of_year",compute.total_fees,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1810,What were the applicable Fee IDs for Rafa_AI in December 2023?,"payments.merchant, payments.year, payments.day_of_year",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1741,What are the applicable fee IDs for Belles_cookbook_store in 2023?,"payments.merchant, payments.year",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1480,What is the fee ID or IDs that apply to account_type = H and aci = D?,"fees.account_type, fees.aci",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1234,What is the average transaction value grouped by shopper_interaction for Crossfit_Hanna's TransactPlus transactions between January and April 2023?,"payments.eur_amount, payments.shopper_interaction, payments.day_of_year",compute.total_amount,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2761,"Looking at the year 2023, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic to in order to pay the maximum fees?","payments.day_of_year, payments.card_scheme, payments.merchant","payments.card_scheme, compute.total_fees",,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2644,"Looking at the month of July, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the minimum fees?","payments.day_of_year, payments.card_scheme, payments.merchant","payments.card_scheme, compute.total_fees",,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1738,"For the 200th of the year 2023, what is the total fees (in euros) that Rafa_AI should pay?","payments.merchant, payments.year, payments.day_of_year",compute.total_fees,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2564,"During 2023, imagine if the Fee with ID 384 was only applied to account type O, which merchants would have been affected by this change?","fees.ID, fees.account_type, payments.account_type",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2536,"Imagine the merchant Crossfit_Hanna had changed its MCC code to 5999 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1696,"For the 200th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?",,,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
