task_id,question,input_fields,output_fields,answer,guidelines,level
1712,"For the 12th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?","payments.merchant, payments.day_of_year, payments.year, payments.eur_amount, payments.is_credit, payments.issuing_country, payments.acquirer_country, acquirer_countries.acquirer, acquirer_countries.country_code, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, merchant_data.merchant, merchant_data.acquirer, merchant_data.merchant_category_code",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1810,What were the applicable Fee IDs for Rafa_AI in December 2023?,"payments.merchant, payments.year, payments.day_of_year, merchant_data.merchant",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1741,What are the applicable fee IDs for Belles_cookbook_store in 2023?,"payments.merchant, payments.year",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1480,What is the fee ID or IDs that apply to account_type = H and aci = D?,"fees.account_type, fees.aci",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1234,What is the average transaction value grouped by shopper_interaction for Crossfit_Hanna's TransactPlus transactions between January and April 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.shopper_interaction, payments.eur_amount",payments.eur_amount,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2761,"Looking at the year 2023, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic to in order to pay the maximum fees?","payments.merchant, payments.year, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2644,"Looking at the month of July, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the minimum fees?","payments.merchant, payments.day_of_year, payments.card_scheme, payments.eur_amount, payments.is_credit, payments.issuing_country, payments.acquirer_country, acquirer_countries.acquirer",compute.fee,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1738,"For the 200th of the year 2023, what is the total fees (in euros) that Rafa_AI should pay?","payments.merchant, payments.year, payments.day_of_year, payments.eur_amount, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, fees.aci, fees.account_type, fees.capture_delay, merchant_data.merchant, merchant_data.acquirer, merchant_data.merchant_category_code, merchant_data.account_type, merchant_data.capture_delay, payments.acquirer_country, payments.issuing_country",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2564,"During 2023, imagine if the Fee with ID 384 was only applied to account type O, which merchants would have been affected by this change?","merchant_data.account_type, payments.merchant, payments.year, fees.ID",payments.merchant,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2536,"Imagine the merchant Crossfit_Hanna had changed its MCC code to 5999 before 2023 started, what amount delta will it have to pay in fees for the year 2023?","merchant_data.merchant, merchant_data.merchant_category_code, payments.year, fees.merchant_category_code, payments.eur_amount, payments.day_of_year",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1696,"For the 200th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?","payments.merchant, payments.year, payments.day_of_year, fees.merchant_category_code, fees.monthly_volume, fees.monthly_fraud_level, fees.is_credit, fees.intracountry, fees.aci, fees.account_type, fees.capture_delay",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2691,"Looking at the month of December, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic in order to pay the maximum fees?","payments.merchant, payments.day_of_year, payments.card_scheme, fees.merchant_category_code, fees.monthly_fraud_level, fees.monthly_volume, fees.is_credit, fees.intracountry, fees.capture_delay, fees.aci, fees.account_type",compute.fee,,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
30,Is the fraud rate for ecommerce transactions higher than in-store transactions during the year 2023?,"payments.shopper_interaction, payments.year, payments.has_fraudulent_dispute, payments.day_of_year",,,"Answer must either yes or no. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
2550,"Imagine the merchant Rafa_AI had changed its MCC code to 5911 before 2023 started, what amount delta will it have to pay in fees for the year 2023?","payments.merchant, payments.year, payments.eur_amount, merchant_data.merchant, merchant_data.merchant_category_code, fees.merchant_category_code",compute.fee,,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2769,"Looking at the year 2023 and at the merchant Golfclub_Baron_Friso, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?","payments.year, payments.merchant, payments.has_fraudulent_dispute, payments.aci, fees.aci",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1274,"For credit transactions, what would be the average fee that the card scheme NexPay would charge for a transaction value of 10 EUR?","payments.is_credit, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1763,What were the applicable Fee IDs for Crossfit_Hanna in January 2023?,"payments.merchant, payments.year, payments.day_of_year, merchant_data.merchant",fees.ID,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
973,What is the average transaction value grouped by aci for Belles_cookbook_store's SwiftCharge transactions between January and February 2023?,"payments.merchant, payments.card_scheme, payments.year, payments.day_of_year, payments.aci, payments.eur_amount",payments.eur_amount,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1748,What are the total fees (in euros) that Golfclub_Baron_Friso paid in 2023?,"payments.merchant, payments.year, payments.eur_amount",compute.fee,,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1507,"In the average scenario, which card scheme would provide the cheapest fee for a transaction value of 50 EUR?","payments.eur_amount, payments.card_scheme",compute.fee,,"Answer must be just the name of the card scheme. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
1427,"For account type H and the MCC description: Taxicabs and Limousines, what would be the average fee that the card scheme SwiftCharge would charge for a transaction value of 1234 EUR? Provide the answer in EUR and 6 decimals","merchant_category_codes.description, merchant_data.account_type, payments.card_scheme, payments.eur_amount",compute.fee,,"Answer must be just a number expressed in EUR rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
2746,"For Rafa_AI in October, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?","payments.merchant, payments.has_fraudulent_dispute, payments.day_of_year, payments.acquirer_country, payments.acquirer, payments.aci, fees.aci, fees.intracountry, fees.is_credit, fees.monthly_fraud_level, fees.merchant_category_code",compute.fee,,"Answer must be just the selected ACI to incentive and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard
64,What are the possible values for the field aci?,payments.aci,payments.aci,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'.",easy
