task_id,question,level,clusters,referred,referred_question
1712,"For the 12th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1810,What were the applicable Fee IDs for Rafa_AI in December 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1741,What are the applicable fee IDs for Belles_cookbook_store in 2023?,hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
1480,What is the fee ID or IDs that apply to account_type = H and aci = D?,hard,[1464],[1464],What is the fee ID or IDs that apply to account_type = R and aci = B?
1234,What is the average transaction value grouped by shopper_interaction for Crossfit_Hanna's TransactPlus transactions between January and April 2023?,hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2761,"Looking at the year 2023, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic to in order to pay the maximum fees?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2644,"Looking at the month of July, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the minimum fees?",hard,"[1273, 1305]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1738,"For the 200th of the year 2023, what is the total fees (in euros) that Rafa_AI should pay?",hard,[1681],[1681],"For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2564,"During 2023, imagine if the Fee with ID 384 was only applied to account type O, which merchants would have been affected by this change?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
2536,"Imagine the merchant Crossfit_Hanna had changed its MCC code to 5999 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
1696,"For the 200th of the year 2023, what are the Fee IDs applicable to Golfclub_Baron_Friso?",hard,"[1681, 1753]","[1681, 1753]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?"
2691,"Looking at the month of December, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic in order to pay the maximum fees?",hard,"[1273, 1681]","[1273, 1681]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
30,Is the fraud rate for ecommerce transactions higher than in-store transactions during the year 2023?,easy,[49],[49],"What is the top country (ip_country) for fraud? A. NL, B. BE, C. ES, D. FR"
2550,"Imagine the merchant Rafa_AI had changed its MCC code to 5911 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",hard,"[1681, 1753, 1871]","[1681, 1753, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || What are the applicable fee IDs for Belles_cookbook_store in March 2023? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
2769,"Looking at the year 2023 and at the merchant Golfclub_Baron_Friso, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing shoppers to use a different payment interactions, what would be the preferred choice considering the lowest possible fees?",hard,[2697],[2697],"For Belles_cookbook_store in January, if we were to move the fraudulent transactions towards a different Authorization Characteristics Indicator (ACI) by incentivizing users to use a different interaction, what would be the preferred choice considering the lowest possible fees?"
