task_id,question,answer,guidelines,level,clusters,referred,referred_question
1712,"For the 12th of the year 2023, what is the total fees (in euros) that Belles_cookbook_store should pay?",,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[5, 7]","[1681, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
1810,What were the applicable Fee IDs for Rafa_AI in December 2023?,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[6, 5]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1741,What are the applicable fee IDs for Belles_cookbook_store in 2023?,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[6, 5]","[1753, 1681]","What are the applicable fee IDs for Belles_cookbook_store in March 2023? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
1480,What is the fee ID or IDs that apply to account_type = H and aci = D?,,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[4, 6]","[1464, 1753]",What is the fee ID or IDs that apply to account_type = R and aci = B? || What are the applicable fee IDs for Belles_cookbook_store in March 2023?
1234,What is the average transaction value grouped by shopper_interaction for Crossfit_Hanna's TransactPlus transactions between January and April 2023?,,"Present your results broken down by grouping and sorted in ascending order. The final answer should be a list of this format: [grouping_i: amount_i, ]. When grouping by country use the country_code. The elements of the list are sorted in ascending order by the amount. All amounts should be rounded to 2 decimal places.. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 7]","[1273, 1871]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
2761,"Looking at the year 2023, to which card scheme should the merchant Golfclub_Baron_Friso steer traffic to in order to pay the maximum fees?",,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 5]","[1273, 1681]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
2644,"Looking at the month of July, to which card scheme should the merchant Martinis_Fine_Steakhouse steer traffic in order to pay the minimum fees?",,"Answer must be just the selected card scheme and the associated cost rounded to 2 decimals in this format: {card_scheme}:{fee}. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[2, 3]","[1273, 1305]","For credit transactions, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
1738,"For the 200th of the year 2023, what is the total fees (in euros) that Rafa_AI should pay?",,"Answer must be just a number rounded to 2 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[5, 7]","[1681, 1871]","For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store? || In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1?"
2564,"During 2023, imagine if the Fee with ID 384 was only applied to account type O, which merchants would have been affected by this change?",,"Answer must be a list of values in comma separated list, eg: A, B, C. If the answer is an empty list, reply with an empty string. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 3]","[1871, 1305]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For account type H and the MCC description: Eating Places and Restaurants, what would be the average fee that the card scheme GlobalCard would charge for a transaction value of 10 EUR? Provide the answer in EUR and 6 decimals"
2536,"Imagine the merchant Crossfit_Hanna had changed its MCC code to 5999 before 2023 started, what amount delta will it have to pay in fees for the year 2023?",,"Answer must be just a number rounded to 6 decimals. If a question does not have a relevant or applicable answer for the task, please respond with 'Not Applicable'",hard,"[7, 5]","[1871, 1681]","In January 2023 what delta would Belles_cookbook_store pay if the relative fee of the fee with ID=384 changed to 1? || For the 10th of the year 2023, what are the Fee IDs applicable to Belles_cookbook_store?"
